2024-05-31 10:00:25,330 - Total number of samples: 875
2024-05-31 10:02:36,548 - Batch [26 / 54], Loss: 11.961791
2024-05-31 10:02:37,026 - Batch [27 / 54], Loss: 8.997170
2024-05-31 10:02:37,513 - Batch [28 / 54], Loss: 8.880819
2024-05-31 10:02:38,000 - Batch [29 / 54], Loss: 13.696379
2024-05-31 10:02:38,499 - Batch [30 / 54], Loss: 11.748900
2024-05-31 10:02:39,050 - Batch [31 / 54], Loss: 10.819513
2024-05-31 10:02:39,521 - Batch [32 / 54], Loss: 17.008530
2024-05-31 10:02:40,016 - Batch [33 / 54], Loss: 12.540481
2024-05-31 10:02:40,515 - Batch [34 / 54], Loss: 9.977452
2024-05-31 10:02:40,995 - Batch [35 / 54], Loss: 9.212060
2024-05-31 10:02:41,460 - Batch [36 / 54], Loss: 12.955691
2024-05-31 10:02:41,901 - Batch [37 / 54], Loss: 13.585917
2024-05-31 10:02:42,404 - Batch [38 / 54], Loss: 6.659651
2024-05-31 10:02:42,886 - Batch [39 / 54], Loss: 9.950993
2024-05-31 10:02:43,410 - Batch [40 / 54], Loss: 7.609982
2024-05-31 10:02:43,884 - Batch [41 / 54], Loss: 12.455071
2024-05-31 10:02:44,392 - Batch [42 / 54], Loss: 11.227681
2024-05-31 10:02:44,870 - Batch [43 / 54], Loss: 11.508576
2024-05-31 10:02:45,357 - Batch [44 / 54], Loss: 8.751399
2024-05-31 10:02:46,317 - Batch [45 / 54], Loss: 11.505685
2024-05-31 10:02:46,792 - Batch [46 / 54], Loss: 10.381474
2024-05-31 10:02:47,310 - Batch [47 / 54], Loss: 10.008460
2024-05-31 10:02:47,619 - Batch [48 / 54], Loss: 9.802519
2024-05-31 10:02:48,177 - Batch [49 / 54], Loss: 9.135593
2024-05-31 10:02:48,653 - Batch [50 / 54], Loss: 8.065693
2024-05-31 10:02:49,080 - Batch [51 / 54], Loss: 10.611452
2024-05-31 10:02:49,430 - Batch [52 / 54], Loss: 13.345515
2024-05-31 10:02:49,739 - Batch [53 / 54], Loss: 10.480431
2024-05-31 10:02:50,197 - Batch [54 / 54], Loss: 8.380666
2024-05-31 10:02:50,585 - Epoch Time: 0.4670478304227193 minutes
2024-05-31 10:02:50,585 - Epoch: 6
2024-05-31 10:02:50,585 - Current Learning Rate: [0.01]
2024-05-31 10:02:50,835 - Batch [1 / 54], Loss: 10.164853
2024-05-31 10:02:51,511 - Batch [2 / 54], Loss: 8.891034
2024-05-31 10:02:51,992 - Batch [3 / 54], Loss: 10.662621
